Account CSN,Account Name,Tier Global Helix,Partner Flag,Partner Incentive Type
20022548,Granjas Carroll de Mexico S de RL de CV,Tier 5,0,
2288751,Greer Industries,Tier 5,0,
2060895,St. Anthony's Memorial Hosp.,Tier 5,0,
20029662,Ensono LP,GOSI,0,Reseller
20022549,Fashion Nova LLC,Tier 5,0,
2274473,WNC Incorporated,Tier 5,0,
627859,Delta Dental of New Jersey,Tier 5,0,
20029663,VBT Mea Computer Software Limited,Tier 3a,0,Reseller
20022550,IT-CNP Inc,Tier 5,0,
2280415,Citizens Bank & Trust,Tier 5,0,
578566,Columbia Greene Community College,Tier 5,0,
20029664,Val Verde County,Tier 5,0,Reseller
20022551,BLK Sistemas Financeiros Ltda,Tier 5,0,
2274936,Open Bank,Tier 5,0,
3263344,AB Data Ltd,Tier 5,0,
20029665,Collectivit̩ Europ̩enne d'Alsace,Tier 3b,0,Reseller
782361,ADP - GSI ITALIA S.p.A.,Tier 3b,0,
2281094,Tweezerman,Tier 5,0,
631005,"E-Z Data, Inc",Tier 5,0,
20029666,Shivalik Small Finance Bank Ltd,Tier 5,0,Reseller
20022553,Ticketbis SL,Tier 5,0,
2278493,Kent County Health Dept,Tier 3c,0,
2121817,Chilton Memorial Hospital,Tier 5,0,
20029667,Deloitte & Touche M.E. LLP,Tier 2b,0,Reseller
20022556,Lucas County Board of Developmental Disabilities,Tier 4,0,
2282284,Premium Ingredients International,Tier 5,0,
632293,Finance Factors Limited,Tier 5,0,
20029668,Trulieve.com,Tier 5,0,Reseller
20022557,Arna Marketing Inc,Tier 5,0,
2284301,United FED of Teachers Welfare Fun,Tier 5,0,
634214,Better Baked Foods Incorporated,Tier 5,0,
20029669,Ascenti Health Limited,Tier 5,0,Reseller
20022560,Ziksu Capital Ltd,Tier 5,0,
2274906,HRSD Planning Dept,Tier 5,0,
602729,LabVantage Solutions Incorporated,Tier 5,0,
20029670,SpinSys-Dine LLC,Tier 5,0,Reseller
20022562,GE Grid Solutions Pte Ltd,Tier 3b,0,
2283106,UCP of Central Florida,Tier 5,0,
553040,Stupp Corporation,Tier 5,0,
2009361,Velocity Software Incorporated,Tier 5,1,Reseller
20022567,Excellence Investment House,Tier 5,0,
2274655,Commerce Corporation,Tier 5,0,
583121,Sturm Ruger & Company Incorporated,Tier 5,0,
20029671,ConSem ICT Inc,Tier 5,1,Reseller
20022569,Public Health Institute,Tier 5,0,
2283357,Richard Wolf Medical Instruments,Tier 5,0,
2101868,Thompson & Knight LLP,Tier 5,0,
20029672,Ayalon Highways,Tier 4,0,Reseller
20022570,Jacobs Group Australia Pty Ltd,Tier 3b,0,
2285508,University of GA-Univ Health Center,Tier 5,0,
783246,Cape Fear Community College,Tier 5,0,
2368117,Unisys,GOSI,1,Reseller
20022571,PT BFI Finance Indonesia Tbk,Tier 5,0,
2288270,City of OPA-Locka,Tier 3c,0,
631539,University of Mary Hardin-Baylor,Tier 5,0,
20029673,Bankinter Luxemburgo,Tier 3a,0,Reseller
20022572,Capital Data Inc,Tier 5,0,
2278648,Florida Parishes Bank,Tier 5,0,
587295,"Foster, Swift , Collins & Smith PC",Tier 5,0,
20029674,OQ8,Tier 5,0,Reseller
20022574,GROUPE MOUSSET,Tier 5,0,
2276730,AIG - Corporate Comptrollers,Tier 2b,0,
585175,Crucible Specialty Metal,Tier 5,0,
20029675,Fikes Wholesale Inc,Tier 5,0,Reseller
2394949,Al Moammar Information Systems Co,Tier 5,0,VAR Sell To
2280436,Onity Incorporated,Tier 5,0,
