Product Name,License Type,Product Line (PL),Product Family,Unit of Measure,List Price (USD),PRP Number,Status,Price List
Automate IT LEON for BMC Helix Solutions Add-on - 1 Transaction - MarketZone,OPS,Remediate,Remediate On Prem,per LEON transaction ,10.11,PRP-00015422,Generally Available,USA List Prices 
Automate IT LEON for BMC Helix Solutions Base - per transaction per server - MarketZone,OPS,Remediate,Remediate On Prem,per managed asset - server endpoint ,32.51,PRP-00015423,Generally Available,USA List Prices 
automate-it LEON for BMC Solutions - MarketZone,OPS,Remediate,Remediate On Prem,per managed asset - server endpoint ,56.89,PRP-00007045,Generally Available,USA List Prices 
automate-it LEON for BMC Solutions - MarketZone,Perpetual,Remediate,Remediate On Prem,per managed asset - server endpoint ,1707,PRP-00007046,Generally Available,USA List Prices 
BladeLogic Application Automation Agent,OPS,Remediate,Remediate On Prem,per agent ,22.44,PRP-00001330,Transition,USA List Prices 
BladeLogic Application Automation Agent,Perpetual,Remediate,Remediate On Prem,per agent ,673,PRP-00001331,Transition,USA List Prices 
BladeLogic Application Automation Suite,OPS,Remediate,Remediate On Prem,per instance ,14954.21,PRP-00002246,Transition,USA List Prices 
BladeLogic Application Automation Suite,Perpetual,Remediate,Remediate On Prem,per instance ,448626,PRP-00002247,Transition,USA List Prices 
BladeLogic Application Release Automation,OPS,Remediate,Remediate On Prem,per managed server ,448.64,PRP-00001391,Transition,USA List Prices 
BladeLogic Application Release Automation,Perpetual,Remediate,Remediate On Prem,per managed server ,13459,PRP-00001392,Transition,USA List Prices 
BMC Application Automation - License Add-on,OPS,Remediate,Remediate On Prem,per managed asset - server endpoint ,284.85,PRP-00003946,Transition,USA List Prices 
BMC Application Automation - License Add-on,Perpetual,Remediate,Remediate On Prem,per managed asset - server endpoint ,8545,PRP-00003947,Transition,USA List Prices 
BMC Assignment Fee - CVT,OPS,CVT,FootPrints Service Core,Each ,8333.33,PRP-00002267,Generally Available,USA List Prices 
BMC Assignment Fee - DSOM,OPS,Other DSOM,Other On Prem,Each ,8333.33,PRP-00002160,Generally Available,USA List Prices 
BMC Assignment Fee - DSOM - SaaS,SaaS,Other DSOM,Other SaaS,Each ,8333.33,PRP-00003705,Generally Available,USA List Prices 
BMC Capacity Management - Performance Analysis for Linux zSeries,OPS,ITOM,ITOM On Prem,per Linux engine ,2770.48,PRP-00003798,Withdrawn,USA List Prices 
BMC Capacity Management - Performance Analysis for Linux zSeries,Perpetual,ITOM,ITOM On Prem,per Linux engine ,83115,PRP-00003799,Withdrawn,USA List Prices 
BMC Client Management,OPS,ITOM,ITOM On Prem,per node ,0,PRP-00002312,Generally Available,USA List Prices 
BMC Client Management,Perpetual,ITOM,ITOM On Prem,per node ,0,PRP-00002313,Generally Available,USA List Prices 
BMC Client Management - Compliance,OPS,ITOM,ITOM On Prem,per node ,0.54,PRP-00004623,Generally Available,USA List Prices 
BMC Client Management - Compliance,Perpetual,ITOM,ITOM On Prem,per node ,16,PRP-00004625,Generally Available,USA List Prices 
BMC Client Management - Consolidated Master Server,OPS,ITOM,ITOM On Prem,per instance ,42.35,PRP-00005456,Generally Available,USA List Prices 
BMC Client Management - Consolidated Master Server,Perpetual,ITOM,ITOM On Prem,per instance ,1270,PRP-00005457,Generally Available,USA List Prices 
BMC Client Management - Deployment,OPS,ITOM,ITOM On Prem,per node ,0.8,PRP-00005980,Generally Available,USA List Prices 
BMC Client Management - Deployment,Perpetual,ITOM,ITOM On Prem,per node ,24,PRP-00005982,Generally Available,USA List Prices 
BMC Client Management - Inventory,OPS,ITOM,ITOM On Prem,per node ,0.8,PRP-00006378,Generally Available,USA List Prices 
BMC Client Management - Inventory,Perpetual,ITOM,ITOM On Prem,per node ,24,PRP-00006379,Generally Available,USA List Prices 
BMC Client Management - Patch,OPS,ITOM,ITOM On Prem,per node ,0.54,PRP-00005873,Generally Available,USA List Prices 
BMC Client Management - Patch,Perpetual,ITOM,ITOM On Prem,per node ,16,PRP-00005875,Generally Available,USA List Prices 
BMC Client Management - Remote,OPS,ITOM,ITOM On Prem,per node ,0.4,PRP-00005976,Generally Available,USA List Prices 
BMC Client Management - Remote,Perpetual,ITOM,ITOM On Prem,per node ,12,PRP-00005978,Generally Available,USA List Prices 
BMC Client Management Master Server,OPS,ITOM,ITOM On Prem,per instance ,42.35,PRP-00005744,Generally Available,USA List Prices 
BMC Client Management Master Server,Perpetual,ITOM,ITOM On Prem,per instance ,1270,PRP-00005745,Generally Available,USA List Prices 
BMC Client Management Suite Nodes,OPS,ITOM,ITOM On Prem,per node ,2.66,PRP-00002368,Generally Available,USA List Prices 
BMC Client Management Suite Nodes,Perpetual,ITOM,ITOM On Prem,per node ,80,PRP-00002369,Generally Available,USA List Prices 
BMC Database Automation - License Add-on,OPS,CVT,BDA,per managed asset - server endpoint ,390.83,PRP-00004468,Withdrawn,USA List Prices 
BMC Database Automation - License Add-on,Perpetual,CVT,BDA,per managed asset - server endpoint ,11725,PRP-00004470,Withdrawn,USA List Prices 
BMC Database Recovery Management - Base License,OPS,CVT,DM - DS,per enterprise ,55.61,PRP-00004663,Withdrawn,USA List Prices 
BMC Database Recovery Management - Base License,Perpetual,CVT,DM - DS,per enterprise ,1668,PRP-00004665,Withdrawn,USA List Prices 
BMC Database Recovery Management - EMC Networker Module,OPS,CVT,DM - DS,per installed server ,22.25,PRP-00001773,Withdrawn,USA List Prices 
BMC Database Recovery Management - EMC Networker Module,Perpetual,CVT,DM - DS,per installed server ,667,PRP-00001774,Withdrawn,USA List Prices 
BMC Database Recovery Management - IBM Tivoli Storage Manager Module,OPS,CVT,DM - DS,per installed server ,22.25,PRP-00003846,Withdrawn,USA List Prices 
BMC Database Recovery Management - IBM Tivoli Storage Manager Module,Perpetual,CVT,DM - DS,per installed server ,667,PRP-00003847,Withdrawn,USA List Prices 
BMC Database Recovery Management - per GB,OPS,CVT,DM - DS,per gigabyte ,25.03,PRP-00001891,Withdrawn,USA List Prices 
BMC Database Recovery Management - per GB,Perpetual,CVT,DM - DS,per gigabyte ,751,PRP-00001892,Withdrawn,USA List Prices 
BMC Database Recovery Management - Symantec NetBackup Module,OPS,CVT,DM - DS,per installed server ,22.25,PRP-00004895,Withdrawn,USA List Prices 
BMC Database Recovery Management - Symantec NetBackup Module,Perpetual,CVT,DM - DS,per installed server ,667,PRP-00004896,Withdrawn,USA List Prices 
BMC Digital Workplace Advanced,OPS,ITSM,ITSM On Prem,per named user ,4.4,PRP-00004220,Transition,USA List Prices 
BMC Digital Workplace Advanced,Perpetual,ITSM,ITSM On Prem,per named user ,132,PRP-00004221,Transition,USA List Prices 
BMC Discovery - Community Edition,Perpetual,ITOM,ITOM On Prem,per managed server ,0,PRP-00003961,Transition,USA List Prices 
BMC Discovery - Resource Unit,OPS,ITOM,ITOM On Prem,per resource unit ,15.57,PRP-00007252,Generally Available,USA List Prices 
BMC Discovery - Resource Unit,Perpetual,ITOM,ITOM On Prem,per resource unit ,467,PRP-00007253,Generally Available,USA List Prices 
BMC Discovery for Data Center - ESO,OPS,ITOM,ITOM On Prem,per managed asset - server endpoint ,15.57,PRP-00000243,Transition,USA List Prices 
BMC Discovery for Data Center - ESO,Perpetual,ITOM,ITOM On Prem,per managed asset - server endpoint ,467,PRP-00000244,Transition,USA List Prices 
BMC Discovery for Data Center - Formerly BMC Discovery Solution,OPS,ITOM,ITOM On Prem,per managed asset - server endpoint ,22.5,PRP-00004718,Withdrawn,USA List Prices 
BMC Discovery for Data Center - Formerly BMC Discovery Solution,Perpetual,ITOM,ITOM On Prem,per managed asset - server endpoint ,675,PRP-00004719,Withdrawn,USA List Prices 
BMC Discovery for Multi-Cloud,OPS,ITOM,ITOM On Prem,per managed asset - cloud resource ,6.53,PRP-00003615,Transition,USA List Prices 
BMC Discovery for Multi-Cloud,Perpetual,ITOM,ITOM On Prem,per managed asset - cloud resource ,196,PRP-00003616,Transition,USA List Prices 
BMC Discovery for Storage - ESO,OPS,ITOM,ITOM On Prem,per managed asset - server endpoint ,2.15,PRP-00002794,Transition,USA List Prices 
BMC Discovery for Storage - ESO,Perpetual,ITOM,ITOM On Prem,per managed asset - server endpoint ,65,PRP-00002795,Transition,USA List Prices 
BMC Discovery Sync for ServiceNow CMDB,OPS,ITOM,ITOM On Prem,per instance ,1972.02,PRP-00004218,Generally Available,USA List Prices 
BMC Discovery Sync for ServiceNow CMDB,Perpetual,ITOM,ITOM On Prem,per instance ,59161,PRP-00004219,Generally Available,USA List Prices 
BMC Extended Full Support Fee - TSCO,OPS,ITOM,ITOM On Prem,Each ,20833.33,PRP-00010399,Generally Available,USA List Prices 
BMC Extended Full Support Fee - TSCO,Perpetual,ITOM,ITOM On Prem,Each ,250000,PRP-00010400,Generally Available,USA List Prices 
BMC Extended Support Fee - CVT,OPS,CVT,FootPrints Service Core,Each ,8333.33,PRP-00001777,Generally Available,USA List Prices 
BMC Extended Support Fee - CVT,Perpetual,CVT,FootPrints Service Core,Each ,100000,PRP-00001778,Generally Available,USA List Prices 
BMC Extended Support Fee - DSOM,OPS,ITSM,ITSM On Prem,Each ,8333.33,PRP-00001285,Generally Available,USA List Prices 
BMC Extended Support Fee - DSOM,Perpetual,ITSM,ITSM On Prem,Each ,100000,PRP-00001286,Generally Available,USA List Prices 
BMC Helix Additional Custom Agent,SaaS,ITSM,ITSM SaaS,Per Custom Agent - SaaS ,4887.6,N/A,Controlled,USA List Prices 
BMC Helix Additional Custom Agent on AWS (DoD IL4),SaaS,ITSM,ITSM SaaS,Per Custom Agent - SaaS ,8446.2,N/A,Controlled,USA List Prices 
BMC Helix Additional Custom Agent on AWS (DoD IL5),SaaS,ITSM,ITSM SaaS,Per Custom Agent - SaaS ,10135.2,N/A,Controlled,USA List Prices 
BMC Helix Additional Custom Agent on AWS (FedRAMP),SaaS,ITSM,ITSM SaaS,Per Custom Agent - SaaS ,7038,N/A,Controlled,USA List Prices 
