Product Name,Cap Discount %
Automate IT LEON for BMC Helix Solutions Add-on - 1 Transaction - MarketZone,0.8
Automate IT LEON for BMC Helix Solutions Base - per transaction per server - MarketZone,0.8
automate-it LEON for BMC Solutions - MarketZone,0.8
automate-it LEON for BMC Solutions - MarketZone,0.8
BMC Helix Additional Storage MSP (50 GB),0
BMC Helix Additional Storage OnPrem MSP (50 GB),0
BMC Helix AIOps MSP - Enterprise Package,0
BMC Helix Customer Service Management - Advanced - Concurrent User - MarketZone,0.8
BMC Helix Customer Service Management - Advanced - Named User - MarketZone,0.8
BMC Helix Customer Service Management - Advanced (FedRAMP) - Concurrent User - MarketZone,0.8
BMC Helix Customer Service Management - Advanced (FedRAMP) - Named User - MarketZone,0.8
BMC Helix Customer Service Management - Concurrent User - MarketZone,0.8
BMC Helix Customer Service Management - Named User - MarketZone,0.8
BMC Helix Customer Service Management OnPrem - Advanced - Concurrent User - MarketZone,0.8
BMC Helix Customer Service Management OnPrem - Advanced - Named User - MarketZone,0.8
BMC Helix Customer Service Management OnPrem - Concurrent User - MarketZone,0.8
BMC Helix Customer Service Management OnPrem - Named User - MarketZone,0.8
BMC Helix Digital Workplace Advanced - Active User MSP (100 Users),0
BMC Helix Digital Workplace Advanced OnPrem - Active User MSP (100 Users),0
BMC Helix Enterprise Service Management - Concurrent User MSP,0
BMC Helix Enterprise Service Management - Named User MSP,0
BMC Helix Enterprise Service Management OnPrem - Concurrent User MSP,0
BMC Helix Enterprise Service Management OnPrem - Named User MSP,0
BMC Helix Field Service Management - Dispatcher - Named User - MarketZone,0.8
BMC Helix Field Service Management - Field Agent - Concurrent User - MarketZone,0.8
BMC Helix Field Service Management - Field Agent - Named User - MarketZone,0.8
BMC Helix iPaaS - Additional 10M MQ Messages Per Month - MarketZone,0.8
BMC Helix iPaaS - Additional 1M API Calls Per Month - MarketZone,0.8
BMC Helix iPaaS - Additional 20 API URLs - MarketZone,0.8
BMC Helix iPaaS - Additional Capacity - MarketZone,0.8
BMC Helix iPaaS - Additional Endpoint - MarketZone,0.8
BMC Helix iPaaS - Additional Integrations (20-Pack) - MarketZone,0.8
BMC Helix iPaaS - Additional Private Agent - MarketZone,0.8
BMC Helix iPaaS Platform - MarketZone,0.8
BMC Helix iPaaS Platform (20 Integration Pack) - MarketZone,0.8
BMC Helix Portfolio Management - Concurrent User - MarketZone,0.8
BMC Helix Portfolio Management - Named User - MarketZone,0.8
BMC Helix Portfolio Management (DoD Impact Level 4) - Concurrent User - MarketZone,0.8
BMC Helix Portfolio Management (DoD Impact Level 4) - Named User - MarketZone,0.8
BMC Helix Portfolio Management (DoD Impact Level 5) - Concurrent User - MarketZone,0.8
BMC Helix Portfolio Management (DoD Impact Level 5) - Named User - MarketZone,0.8
BMC Helix Portfolio Management (FedRAMP) - Concurrent User - MarketZone,0.8
BMC Helix Portfolio Management (FedRAMP) - Named User - MarketZone,0.8
BMC Helix Portfolio Management OnPrem - Concurrent User - MarketZone,0.8
BMC Helix Portfolio Management OnPrem - Named User - MarketZone,0.8
BMC Helix Service Management Basic - Concurrent User MSP,0
BMC Helix Service Management Basic - Named User MSP,0
BMC Helix Service Management Basic OnPrem - Concurrent User MSP,0
BMC Helix Service Management Basic OnPrem - Named User MSP,0
Catchpoint for BMC Helix (1 Agent per Instance) - MarketZone,0.8
TrustCloud Onboarding and Training for BMC Helix - MarketZone,0.8
TrustCloud TrustOps Audit Frameworks for BMC Helix - MarketZone,0.8
"TrustCloud TrustOps for BMC Helix (up to 10,000 employees) - MarketZone",0.8
"TrustCloud TrustRegister for BMC Helix (up to 10,000 employees) - MarketZone",0.8
TrustCloud TrustShare Addons for BMC Helix (100 questionnaire pack) - MarketZone,0.8
"TrustCloud TrustShare for BMC Helix (up to 10,000 employees) - MarketZone",0.8
