PF,BMC Base List Price ,Reseller (Customer Tier 1-3),CNReseller (Customer Tier 1-3),KRReseller (Customer Tier 1-3),Reseller (Customer Tier 4-5),CNReseller (Customer Tier 4-5),KRReseller (Customer Tier 4-5),Distributor (Customer Tier 1-3),CNDistributor (Customer Tier 1-3),KRDistributor (Customer Tier 1-3),Distributor (Customer Tier 4-5),CNDistributor (Customer Tier 4-5),KRDistributor (Customer Tier 4-5),Distributor (Federal),GOSI Strategic
ITOM On Prem,0,0.4,0.79,0.68,0.5,0.79,0.68,0.5,0.79,0.68,0.55,0.79,0.68,0.35,0.45
ITSM On Prem,0,0.4,0.79,0.68,0.5,0.79,0.68,0.5,0.79,0.68,0.55,0.79,0.68,0.35,0.45
Remediate On Prem,0,0.4,0.79,0.68,0.5,0.79,0.68,0.5,0.79,0.68,0.55,0.79,0.68,0.35,0.45
ITOM SaaS,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.35,0.45
ITSM SaaS,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.35,0.45
Other SaaS,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.35,0.45
ITSM SaaS Remedyforce,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.35,0.35
Track-It,0,0.3,0.75,0.63,0.4,0.75,0.63,0.4,0.75,0.63,0.4,0.75,0.63,0.27,0.3
FootPrints Service Core,0,0.3,0.75,0.63,0.4,0.75,0.63,0.4,0.75,0.63,0.4,0.75,0.63,0.27,0.3
DM - DS,0,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.27,0.38
TSNA,0,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.27,0.38
APM,0,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.27,
BDA,0,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.27,
CLM,0,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.27,
Other On Prem,0,0.4,0.79,0.68,0.5,0.79,0.68,0.5,0.79,0.68,0.55,0.79,0.68,0.35,
SVC-Education,0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,
SVC-PS Consulting,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,
SVC-ITOM On Prem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SVC-ITSM On Prem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SVC-Remediate On Prem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SVC-ITOM SaaS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SVC-ITSM SaaS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SVC-Other SaaS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SVC-ITSM SaaS Remedyforce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SVC-Track-It,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SVC-FootPrints Service Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SVC-DM - DS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SVC-TSNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SVC-APM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SVC-BDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SVC-CLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SVC-Other On Prem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
